Day,Control,Type,Batch,Duplicate,Step,Moisture_content_(%),MW_duration_(min),Measurement,Result,,
12,N,Flour,2,1,D12,39,10,Water_Activity,0.378,,
12,N,Flour,2,2,D12,39,10,Water_Activity,0.378,,
12,N,Flour,3,1,D12,39,10,Water_Activity,0.352,,
12,N,Flour,3,2,D12,39,10,Water_Activity,0.353,,
26,Y,Flour,NA,1,D26,11,0,Water_Activity,0.253,,
26,Y,Flour,NA,2,D26,11,0,Water_Activity,0.251,,
26,N,Flour,1,1,D26,11,5,Water_Activity,0.205,,
26,N,Flour,1,2,D26,11,5,Water_Activity,0.205,,
26,N,Flour,2,1,D26,11,5,Water_Activity,0.202,,
26,N,Flour,2,2,D26,11,5,Water_Activity,0.204,,
26,N,Flour,3,1,D26,11,5,Water_Activity,0.199,,
26,N,Flour,3,2,D26,11,5,Water_Activity,0.196,,
26,N,Flour,1,1,D26,11,10,Water_Activity,0.217,,
26,N,Flour,1,2,D26,11,10,Water_Activity,0.217,,
26,N,Flour,2,1,D26,11,10,Water_Activity,0.219,,
26,N,Flour,2,2,D26,11,10,Water_Activity,0.218,,
26,N,Flour,3,1,D26,11,10,Water_Activity,0.227,,
26,N,Flour,3,2,D26,11,10,Water_Activity,0.226,,
26,Y,Flour,NA,1,D26,21,0,Water_Activity,0.239,,
26,Y,Flour,NA,2,D26,21,0,Water_Activity,0.242,,
26,N,Flour,1,1,D26,21,5,Water_Activity,0.234,,
26,N,Flour,1,2,D26,21,5,Water_Activity,0.234,,
26,N,Flour,2,1,D26,21,5,Water_Activity,0.234,,
26,N,Flour,2,2,D26,21,5,Water_Activity,0.236,,
26,N,Flour,3,1,D26,21,5,Water_Activity,0.218,,
26,N,Flour,3,2,D26,21,5,Water_Activity,0.235,,
26,N,Flour,1,1,D26,21,10,Water_Activity,0.210,,
26,N,Flour,1,2,D26,21,10,Water_Activity,0.209,,
26,N,Flour,2,1,D26,21,10,Water_Activity,0.230,,
26,N,Flour,2,2,D26,21,10,Water_Activity,0.229,,
26,N,Flour,3,1,D26,21,10,Water_Activity,0.224,,
26,N,Flour,3,2,D26,21,10,Water_Activity,0.224,,
26,Y,Flour,NA,1,D26,39,0,Water_Activity,0.285,,
26,Y,Flour,NA,2,D26,39,0,Water_Activity,0.284,,
26,N,Flour,1,1,D26,39,5,Water_Activity,0.278,,
26,N,Flour,1,2,D26,39,5,Water_Activity,0.280,,
26,N,Flour,2,1,D26,39,5,Water_Activity,0.241,,
26,N,Flour,2,2,D26,39,5,Water_Activity,0.241,,
26,N,Flour,3,1,D26,39,5,Water_Activity,0.266,,
26,N,Flour,3,2,D26,39,5,Water_Activity,0.265,,
26,N,Flour,1,1,D26,39,10,Water_Activity,0.238,,
26,N,Flour,1,2,D26,39,10,Water_Activity,0.237,,
26,N,Flour,2,1,D26,39,10,Water_Activity,0.232,,
26,N,Flour,2,2,D26,39,10,Water_Activity,0.232,,
26,N,Flour,3,1,D26,39,10,Water_Activity,0.252,,
26,N,Flour,3,2,D26,39,10,Water_Activity,0.255,,
36,Y,Flour,NA,1,D36,11,0,Water_Activity,0.202,,
36,Y,Flour,NA,2,D36,11,0,Water_Activity,0.204,,
36,N,Flour,1,1,D36,11,5,Water_Activity,0.157,,
36,N,Flour,1,2,D36,11,5,Water_Activity,0.157,,
36,N,Flour,2,1,D36,11,5,Water_Activity,0.149,,
36,N,Flour,2,2,D36,11,5,Water_Activity,0.149,,
36,N,Flour,3,1,D36,11,5,Water_Activity,0.144,,
36,N,Flour,3,2,D36,11,5,Water_Activity,0.145,,
36,N,Flour,1,1,D36,11,10,Water_Activity,0.166,,
36,N,Flour,1,2,D36,11,10,Water_Activity,0.164,,
36,N,Flour,2,1,D36,11,10,Water_Activity,0.151,,
36,N,Flour,2,2,D36,11,10,Water_Activity,0.151,,
